id,topic,text,true_label,pred_label
truthseeker-97802,health,"""busted: cdc inflated covid numbers, accused of violating federal law""",peripheral,central
truthseeker-83050,health,"""dmx received covid vaccine days before heart attack.""",peripheral,central
truthseeker-87599,health,a video shows a nurse pretending to vaccinate actor anthony hopkins before squirting fluid in the syringe on the floor.,peripheral,central
truthseeker-105499,health,china recovered from covid-19 without a vaccine.,peripheral,central
truthseeker-75732,health,"emails show that fauci knew ""hydroxychloroquine worked [and] emailed friends about it being effective.""",peripheral,central
truthseeker-54926,health,"haiti, tanzania and madagascar refused the covid-19 vaccines and now all three of their presidents have died unexpectedly.",central,peripheral
truthseeker-47464,health,"hundreds of thousands died after taking the advice of these celebrities, who are aiding and abetting mass murder by advocating covid-19 vaccination.",central,peripheral
truthseeker-48803,health,i dont believe the science suggests that young people should be vaccinated. i dont believe that young people should have to wear masks at school. im not sure the science is settled on that at all.,central,peripheral
truthseeker-134087,health,"if you are licensed to carry a concealed weapon, wearing a face covering for coronavirus ""removes your conceal carry ability.""",central,peripheral
truthseeker-80162,health,"it's illegal for a college, public school or employer to ""mandate"" the vaccine because it was authorized for emergency use.",central,peripheral
truthseeker-80101,health,"joe suffers brain fart! biden visits elementary school, asks the children if theyre high schoolers (video).",peripheral,central
truthseeker-106456,health,"masks will kill quite a few people, its well known that they reduce blood oxygen levels and those with respiratory and cardiac disorders will die.",central,peripheral
truthseeker-102049,health,new york is trying to pass a bill that would allow them to round up non mask wearers and people who dont want to take the vaccine into concentration camps. then with a court order they can force vaccinate you.,central,peripheral
truthseeker-132629,health,no other country is having a second wave of covid-19 because they are not trying to unseat a president in november.,central,peripheral
truthseeker-133054,health,oklahoma 100% coronavirus test rate after trump tulsa rally.,central,peripheral
truthseeker-111883,health,"our doctors get more money if somebody dies from covid. so what they do is they say, i'm sorry, but, you know, everybody dies of covid.""",peripheral,central
truthseeker-80149,health,"parents in vail, arizona just took over the school board all according to the rules. voted in a whole new board, and immediately removed the mask mandate.",central,peripheral
truthseeker-127721,health,"bill gates said, we need to develop a digital certificate that shows who has received all the vaccinations. only those with all the required vaccinations may travel, visit churches, participate in sports and music events, get a job, etc.",central,peripheral
truthseeker-71027,health,eric trump said he raised nearly $30 million for children dying of cancer at st. jude before the age of 30.,central,peripheral
truthseeker-119283,health,"sarah jeong said, ""we need a castration lottery for white men. every month we pull a birthday, sort the excess and snip some sacks, preferably in a big public gathering.""",central,peripheral
truthseeker-132913,health,no one under the age of 20 has died of the coronavirus. we still dont know whether children can get it and transmit it to others.,central,peripheral
truthseeker-75824,health,professional soccer player christian eriksen received the pfizer vaccine days before he collapsed during a game.,peripheral,central
truthseeker-53077,health,showing up at the front doors of peoples houses and violating hipaa laws by requesting private medical information regarding their vaccination status is unacceptable and illegal.,central,peripheral
truthseeker-46956,health,the covid-19 vaccine doesnt prevent catching or spreading the virus and only lasts months.,peripheral,central
truthseeker-81472,health,stanford study results show face masks are ineffective and dangerous.,peripheral,central
truthseeker-103433,health,"the american medical association rescinded a previous statement and now says ""hydroxychloroquine is okay"" for covid-19.",peripheral,central
truthseeker-98446,health,the biden administration lost 20 million covid vaccines.,peripheral,central
truthseeker-71649,health,"the covid-19 vaccines spike protein is very dangerous, it's cytotoxic.",central,peripheral
truthseeker-84475,health,toxicology report was made public by the mn prosecution revealing the cause of george floyds death was a fentanyl overdose.,central,peripheral
truthseeker-48131,health,video shows a child who tested positive for covid-19 being separated from their parents.,peripheral,central
truthseeker-54919,technology,facebook imposes a 7% limit on a users sharing.,central,peripheral
